"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"El Diario Intimo de Matias (Spanish Edition)","Sendra","","","Tapa blanda","","","","","9788475777382","","https://www.goodreads.com/book/show/5901917-el-diario-intimo-de-matias","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","Libro usado en buenas condiciones, por su antiguedad podria contener señales normales de uso","","","Comics-manga","4.00","08/16/2026","","","","","","","","Estante D",""
"El don de volar","","","","Tapa blanda","","","","","968497146X","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
"El Hobbit / The Hobbit","Tolkien, J.R.R.","Minotauro","","Tapa blanda","310","Middle Earth","","spa","9789505470631","","https://www.goodreads.com/book/show/227221.El_hobbit","","","https://covers.openlibrary.org/b/id/1052113-L.jpg","Smaug parecía profundamente dormido cuando Bilbo espió una vez más desde la entrada. ¡Pero fingía estar dormido! ¡Estaba vigilando la entrada del túnel!... Sacado de su cómodo agujero-hobbit por Gandalf y una banda de enanos, Bilbo se encuentra de pronto en medio de una conspiración que pretende apoderarse del tesoro de Smaug el Magnífico, un enorme y muy peligroso dragón...","","","Fantasy","4.30","08/16/2026","","","","","","","","Estante B",""
"El pariente de todos los pobres","","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
"El precio del amor","Danielle, Steel","","","Tapa blanda","","","","","9789500751063","","","","","","","","","","","08/16/2026","","","","","","","","Estante C",""
"El principito","Saint-Exupéry, Antoine de","","","Tapa blanda","","","","","9789873993282","","https://www.goodreads.com/book/show/49566276-el-principito","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","A pilot forced to land in the Sahara meets a little prince. The wise and enchanting stories the prince tells of his own planet with its three volcanoes and a haughty flower are unforgettable. A strange and wonderful parable for all ages, with super illustrations by the author.","","","Favorites","4.34","08/16/2026","","","","","","","","Estante B",""
"El regreso del hijo pródigo","Nouwen, Henri J.M.","PPC","1999","Tapa blanda","157","The Return of the Prodigal Son","","spa","9788428815321","","https://www.goodreads.com/book/show/5966423-el-regreso-del-hijo-pr-digo","","","https://covers.openlibrary.org/b/id/10972678-L.jpg","""Me acerqué a El regreso del hijo pródigo de Rembrandt como si se tratara de mi propia obra: un cuadro que contenía no sólo lo esencial de la historia que Dios quería que yo contara a los demás, sino también lo que yo mismo quería contar a los hombres y mujeres de Dios. En él está todo el evangelio. En él está toda mi vida y la de mis amigos. Este cuadro se ha convertido en una misteriosa ventana a través de la cual puedo poner un pie en el Reino de Dios.""","","","Spiritual life, Christian","4.38","08/16/2026","","","","","","","","Estante A",""
"El sueño que nos hace soñar","Luis Ezequiel, Camargo","","","Tapa blanda","","","","","9789507871078","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"En la huella del Evangelio","","","","Tapa blanda","","","","","9879924436","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
"Enrique Angelelli, obispo de La Rioja","Liberti, Luis O.; Pastrone, Pablo Nazareno","Editorial Guadalupe | Ágape Libros","2016","Tapa blanda","104","","","spa","9789505007257","","https://www.goodreads.com/book/show/55703841-enrique-angelelli-obispo-de-la-rioja","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602968858l/55703841._SX98_.jpg","","","","Clergy","0","08/16/2026","","","","","","","","Estante A",""
"Entre cielo y tierra - Chiara Luce Badano","Coriasco, Franz","Ciudad Nueva","","Tapa blanda","142","","","spa","9789505862801","","https://www.goodreads.com/book/show/25521166-entre-cielo-y-tierra---chiara-luce-badano","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431354003l/25521166._SX98_.jpg","","","","Books-i-own","4.44","08/16/2026","","","","","","","","Estante A",""
"Fate la pace!: San Francesco in piazza Maggiore","Roversi, Tiziana; Stefanelli, Angelica","Minerva Edizioni","","Tapa blanda","88","","","ita","9788833244716","","https://www.goodreads.com/book/show/61787394-fate-la-pace","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659208657l/61787394._SX98_.jpg","«Angeli, uomini, demoni…» esordisce Francesco nella grande piazza di Bologna.
Bella, dotta, potente, la “New York del Medioevo” è anche una città oltremodo litigiosa. La guerra risuona dappertutto, dentro e fuori le mura. Ecco perché l’uomo della pace è accorso, quel 15 agosto 1222.","","","Storia","4.00","08/16/2026","","","","","","","","Estante A",""
"Fausto","Goethe, Johann Wolfgang von; Alvano, Sergio","Gradifco","","Tapa blanda","287","Goethe’s Faust","","spa","9789871093755","","https://www.goodreads.com/book/show/18717292-fausto","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494126691l/18717292._SX98_.jpg","Este poema dramático fue la obra de toda una vida. Comenzado hacia 1771, fue terminado en 1831 , y la edición completa tuvo lugar poco tiempo después de la muerte de Goethe, en 1832.
La trama de la tragedia es universalmente conocida: el viejo doctor Fausto, decepcionado de la conciencia tradicional en su búsqueda de la verdad y del poder se vuelve hacia la magia. Hace un pacto con Mefistófeles, quien le da la eterna juventud y lo lleva de placer en placer; así, con el nombre de Heinrich, conquista a Gretchen y la arrastra al crimen y a la muerte (encarcelada por infanticida, encuentra en la prisión la serenidad y la salvación)
Johann Wolfgang Goethe, uno de los más destacados escritores de la literatura clásica alemana, cultivó todos los géneros literarios. Dentro de sus obras más destacadas se incluyen Fausto y Los sufrimientos del joven Werther.","","","Classics","3.89","08/16/2026","","","","","","","","Estante B",""
"Geografia","Giovanni, Castelli","","","Tapa blanda","","","","","9789875914148","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
"Historia de La Penumbra y Lo Invisible","Doyle, Arthur Conan","Andres Bello","1997","Tapa blanda","215","","","","9789561314597","","https://www.goodreads.com/book/show/9353551-historia-de-la-penumbra-y-lo-invisible","","","https://covers.openlibrary.org/b/id/3350250-L.jpg","Editorial Andres Bello","","","Cuentos-y-fábulas","3.65","08/16/2026","","","","","","","","Estante C",""
"Historia de un alma / Story of a Soul","Lisieux, Thérèse of","Bonum","","Tapa blanda","286","","","spa","9789505075959","","https://www.goodreads.com/book/show/442517.Historia_de_un_Alma","","","https://covers.openlibrary.org/b/id/5233287-L.jpg","This book, first published in 1898 in a highly edited version, quickly became a modern spiritual classic, read by millions and translated into over fifty-five languages. John Clarke's acclaimed translation, first published in 1975, is now accepted as the standard throughout the English-speaking world.","","","Catholic","4.45","08/16/2026","","","","","","","","Estante A",""
"Il Savena racconta","Vittorio, Ventuni","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
"Illusions","Bach, Richard","Delacorte Press","1977","Tapa blanda","143","","","en-US","","","https://www.goodreads.com/book/show/705289.Illusions","","","https://covers.openlibrary.org/b/id/4453996-L.jpg","In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders...until he meets Donald Shimoda--former mechanic and self-described messiah who can make wrenches fly and Richard's imagination soar....

In Illusions, Richard Bach takes to the air to discover the ageless truths that give our souls wings: that people don't need airplanes to soar...that even the darkest clouds have meaning once we lift ourselves above them... and that messiahs can be found in the unlikeliest places--like hay fields, one-traffic-light midwestern towns, and most of all, deep within ourselves.","","","Adventure stories, Fiction","4.15","08/16/2026","","","","","","","","Estante B",""
"Ines crece despacio","Helft, Claude; Brunelet, Madeleine; Caballero, María","","","Tapa blanda","","","","","9788484880967","","https://www.goodreads.com/book/show/3296338-ines-crece-despacio","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","","4.00","08/16/2026","","","","","","","","Estante D",""
"L'appello","Grisham, John; Rambelli, Roberta","Mondadori","1995-01-01","Tapa blanda","602","","","ita","9788804407225","","https://www.goodreads.com/book/show/7312887-l-appello","","","https://covers.openlibrary.org/b/id/10580685-L.jpg","Vent'anni dopo essere stato condannato a morte per un orrendo delitto, e poco prima dell'esecuzione, Sam Cayhall trova un giovane avvocato che vuole a tutti i costi riaprire la causa. Una disperata battaglia legale che nasconde un terribile segreto.","","","alcoholism, Fiction","3.86","08/16/2026","","","","","","","","Estante C",""
"La casa actual","Comerma, Carles Broto i","LINKS","2009","Tapa blanda","299","","","","9788496969117","","https://www.goodreads.com/book/show/115262385-in-box-me","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Interior architecture","0","08/16/2026","","","","","","","","Estante D",""
"La casa de la llanura","Zavaleta, Jorge Torres","","1993-04-01","Tapa blanda","","","","","9789500811200","","https://www.goodreads.com/book/show/97738698-la-casa-de-la-llanura","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1762090561l/97738698._SX98_.jpg","Spanish","","","Leer-en-fisico","5.00","08/16/2026","","","","","","","","Estante C",""
"La huerta agroecológica. Una historia esdrújula recomendada por el conde Drácula","Crespi, Martin; Chereau, Diana","Pachamamita Libros","","Tapa blanda","80","","","","9789878634821","","https://www.goodreads.com/book/show/54345162-la-huerta-agroecol-gica-una-historia-esdr-jula-recomendada-por-el-conde","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593577696l/54345162._SX98_.jpg","¿Quién dijo que todo está perdido...? Ahhh... falta muy poquito para que este bellísimo trabajo ande circulando libremente de mano en mano y de boca en boca. 
A mediados de marzo publicamos La huerta agroecológica, una historia esdrújula recomendada por el conde Drácula
Ilustrado por la maravillosa Diana Chereau, escrito por Martín Crespi
¡El mejor libro esdrujúlico de este universo tan divérsico!","","","Lo-tengo","3.00","08/16/2026","","","","","","","","Estante D",""
"La muerte de Lord Edgware","","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante C",""
"La Orden de Santo Domingo en Cordoba","Congreso Internacional de Historia de la Orden Dominicana en América (2004 Córdoba, Argentina); Congreso Internacional de Historia de la Orden Dominicana en América (2004 Córdoba, Argentina)","Gobierno de Córdoba","2004","Tapa blanda","203","","","","","","http://openlibrary.org/books/OL16232297M/La_Orden_de_Santo_Domingo_en_Cordoba","","","https://covers.openlibrary.org/b/id/5327839-L.jpg","","","","Congresses","","08/16/2026","","","","","","","","Estante A",""
"La vuelta al mundo en 80 días","Verne, Jules","Gradifco","","Tapa blanda","254","","","spa","9789871093557","","https://www.goodreads.com/book/show/6678780-la-vuelta-al-mundo-en-80-d-as","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487449893l/6678780._SX98_.jpg","One night in the reform club, Phileas Fogg bets his companions that he can travel across the globe in just eighty days. Breaking the well-established routine of his daily life, he immediately sets off for Dover with his astonished valet Passepartout. Passing through exotic lands and dangerous locations, they seize whatever transportation is at hand—whether train or elephant—overcoming set-backs and always racing against the clock.","","","Classics","3.95","08/16/2026","","","","","","","","Estante B",""
"Las crónicas de Narnia: El príncipe Caspian","C. S. Lewis","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
"Le avventure di Pinocchio","Carlo, Collodi","","","Tapa blanda","","","","","9789875631137","","","","","","","","","","","08/16/2026","","","","","","","","Estante C",""
"Lea","Mercier, Pascal","Cántaro","","Tapa blanda","240","","","spa","9789507532412","","https://www.goodreads.com/book/show/7710229-lea","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665395101l/7710229._SX98_.jpg","Una mañana clara y ventosa. el azar propicia el encuentro entre dos hombres. A partir de entonces comienza un ajustado contrapunto ejecutado sobre la aparente simetría entre dos vidas. En una suerte de road movie europea. se encadenan los recorridos internos de ambos personajes. Martijn Van Vliet es el torturado padre de Lea. una muchacha de extraordinario talento musical. despertado por la eventual audición de una violinista callejera. Su obsesión por el instrumento conduce a Lea a cultivar un amor casi místico por su profesora. Este talento supondrá también su propia enajenación.Adrián. cirujano desplazado traumáticamente de su profesión. se convierte en confidente de Van Vliet y propicia de intérprete de los acontecimientos. Quería escribir un libro sobre una experiencia existencial profunda y dolorosa: cómo. en cualquier momento. hasta los seres con quienes hemos establecido relaciones muy cercanas se nos presentan como desconocidos . señala el autor de esta novela en el posfacio a la edición castellana de la obra.Un eslabón más del talento insoslayable de uno de los mejores escritores contemporáneos.","","","Fiction","3.61","08/16/2026","","","","","","","","Estante C",""
"LETTERE","Frassati, Pier Giorgio","","","Tapa blanda","","","","","9788869292002","","https://www.goodreads.com/book/show/64482046-lettere","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Catholic","4.59","08/16/2026","","","","","","","","Estante A",""
"Lo Zecchino d'oro","","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"Lo Zecchino d'oro","","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"Los constructores de catedrales","","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"Lucero","Maria Ines, López","","","Tapa blanda","","","","","9789877783988","","","","","","","","","","","08/16/2026","","","","","","","","Estante C",""
"Lucia Tanomi","Chiara, Nicosia","","","Tapa blanda","","","","","9791255082521","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"Macanudo 1","Liniers","","","Tapa blanda","","Macanudo","","","9789873818769","","https://www.goodreads.com/book/show/61075946-macanudo-1","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","Humor, crítica de costumes, nonsense, poesia. Cada tirinha da história em quadrinhos do argentino Liniers é uma surpresa e um deleite.
Em Macanudo desfila uma imensa galeria de personagens insólitos e divertidos: Enriqueta, com seu gato Fellini e o ursinho Madariaga; Z-25 - o robô sensível; o senhor que traduz os nomes dos filmes; a Vaca Cinéfila; Oliverio, a Azeitona; o Misterioso Homem de Preto; duendes, ovelhas e pinguins. Somando-se a esses, Macanudo 3 introduz ainda o casal Lorenzo e Teresita, com seu relacionamento apaixonado (e às vezes nem tanto); As Verdadeiras Aventuras de Liniers (onde o autor desenha a si próprio com orelhas de coelho, e que se tornou sua marca registrada); homenagens a personalidades famosas, como Chaplin, Kafka, Winsor McCay e Picasso.
Uma história em quadrinhos que é grande sucesso de vendas na Argentina, também com edições em francês e inglês, Liniers e o universo de Macanudo já conquistou o leitor brasileiro com os livros da Zarabatana Books.","","","Comics","4.33","08/16/2026","","","","","","","","Estante D",""
"Macanudo 10","Liniers","La Editorial Común","2013-07-07","Tapa blanda","191","Macanudo","","spa","9789872938918","","https://www.goodreads.com/book/show/18250004-macanudo-10","","","https://covers.openlibrary.org/b/id/12328556-L.jpg","Macanudo 10 cuenta las andanzas de personajes como Enriqueta y su osito Madariaga, la aceituna Oliverio, Olga, duendes, pingüinos, El misterioso hombre de negro, Fellini, El traductor de nombres de películas, Cosas que a lo mejor le pasaron a Picasso, Lorenzo y Teresita, Pan Chueco y Conceptual Incomprensible. La décima edición trae el doble de páginas que los Macanudos anteriores.","","","Comics","4.40","08/16/2026","","","","","","","","Estante D",""
"Macanudo 11",", Liniers; Comun, La Editorial","Editorial Común","","Tapa blanda","95","Macanudo","","spa","9789873795015","","https://www.goodreads.com/book/show/23566886-macanudo-11","","","https://covers.openlibrary.org/b/id/12332578-L.jpg","Macanudo 11 cuenta las andanzas de personajes como Enriqueta y su osito Madariaga, la aceituna Oliverio, Olga, duendes, pingüinos, El misterioso hombre de negro, Fellini, El traductor de nombres de películas, Cosas que a lo mejor le pasaron a Picasso, Lorenzo y Teresita, Pan Chueco y Conceptual Incomprensible. Los primeros 200 van firmados por Liniers.","","","Comics","4.23","08/16/2026","","","","","","","","Estante D",""
"Macanudo 2","Liniers","","","Tapa blanda","","Macanudo","","","9789873818776","","https://www.goodreads.com/book/show/63128578-macanudo-2","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","«Además de disponer de una imaginación sin red, el gran mérito de Liniers es que ha sabido conjugar raíces muy dispares, procesar influencias múltiples y reconocibles para hacer lo propiamente suyo.» Juan Sasturain «El twist de los chistes de Liniers es por un lado inmediato, pero a la vez te deja un after taste, un sabor a posteriori de algo que quizás no cazaste del todo en el momento de leerlo. Posiblemente sea esto lo que les da la perdurabilidad y les quita lo efímero que muchas tiras tienen.» Kevin Johansen","","","Comics","4.42","08/16/2026","","","","","","","","Estante D",""
"Macanudo 4 (Macanudo, #4)","Liniers","Ediciones de la Flor","","Tapa blanda","96","Macanudo","4","","9789505157785","","https://www.goodreads.com/book/show/2767946-macanudo-4","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","En este cuarto volumen, más de los impredecibles macanudismos del señor Liniers. Pasen y lean.","","","Comics","4.40","08/16/2026","","","","","","","","Estante D",""
"Mail a un amigo","Luis Ezequiel, Camargo","","","Tapa blanda","","","","","9786310017662","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"Mino","","","","Tapa blanda","","","","","9788899142513","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
"Monsieur Jean 1","Dupuy, Philippe; Berberian, Charles; Díaz, Lorenzo F.","La Editorial Común","","Tapa blanda","104","Monsieur Jean","","spa","9789872728748","","https://www.goodreads.com/book/show/16147038-monsieur-jean-1","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352770872l/16147038._SX98_.jpg","Monsieur Jean es una de las propuestas más personales de dos autores franceses, Dupuy y Berberian, en la que nos narran la historia de un escritor treintañero que se enfrenta a la vida adulta, con sus alegrías y sinsabores, sus amigos y sus novias. Varias historias cortas que presentan al personaje y sus circunstancias. Un retrato hilarante de situaciones cotidianas narradas desde la sencillez, la ironía y la ternura.","","","Viñetas","3.44","08/16/2026","","","","","","","","Estante D",""
"Monsieur Jean 2","Dupuy, Philippe; Berberian, Charles","La Editorial Común","2014-08-28","Tapa blanda","174","Monsieur Jean","","spa","9789873795008","","https://www.goodreads.com/book/show/32532083-monsieur-jean-2","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490225498l/32532083._SX98_.jpg","Monsieur Jean es una de las propuestas más personales de dos autores franceses, Dupuy y Berberian, en la que nos narran la historia de un escritor treintañero que se enfrenta a la vida adulta, con sus alegrías y sinsabores, sus amigos y sus novias. Varias historias cortas que presentan al personaje y sus circunstancias. Un retrato hilarante de situaciones cotidianas narradas desde la sencillez, la ironía y la ternura.

En esta segunda edición, Jean se enfrenta a su reloj biológico en otra divertida historia sobre lo que siente un hombre de treinta y pico y sus a veces poco esperados logros. Una serie, agridulce y compasiva, que mantiene un balance que funciona.","","","Historietas","4.00","08/16/2026","","","","","","","","Estante D",""
"Muerte en la vicaría","Agatha, Christie","","","Tapa blanda","","","","","9789504911593","","","","","","","","","","","08/16/2026","","","","","","","","Estante C",""
"Musica di smalto e ceramica contemporanea","","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"Ningún lugar está lejos","Bach, Richard; Wegen, Ron; Vlastelica, Gregorio","Pomaire","1980","Tapa blanda","54","","","spa","","","https://www.goodreads.com/book/show/6924767-ning-n-lugar-est-lejos","","","https://covers.openlibrary.org/b/id/15125645-L.jpg","""Y en medio del Aquí y del Ahora,
¿no crees que podríamos vernos una o dos veces?""
Juan Salvador Gaviota

Ningún lugar está lejos sintetiza la particular filosofía de Richard Bach: nada es imposible para el que verdaderamente desea algo, y está dispuesto a prescindir de eso, que llamamos «realidad objetiva». Este libro tiene un mensaje muy simple y directo sobre el significado de la amistad y el amor, lo que implica crecer y estar presente en el mundo.

Ningún lugar está lejos para los seres con imaginación, capaces de comprometerse con la gente, de amar, de vivir cada día como si fuera el primero y el último. Ninguna persona está lejos si existe el deseo y la voluntad de estar a su lado.

","","","Fiction","3.95","08/16/2026","","","","","","","","Estante B",""
"Norman Foster","GOITIA","","","Tapa blanda","","","","","9789870724605","","https://www.goodreads.com/book/show/108941566-norman-foster","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Biblioteca","0","08/16/2026","","","","","","","","Estante D",""
"Novios inquietos en camino","","","","Tapa blanda","","","","","9789500916622","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
"Patoruzú: Vera historia no oficial del grande y famoso cacique tehuelche","Ostuni, Hernán; García, Fernando Ariel","La Bañadera del Comic","","Tapa blanda","","","","spa","9789879871508","","https://www.goodreads.com/book/show/33665255-patoruz","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483307364l/33665255._SX98_.jpg","Biblioteca temática de la Historieta Argentina: Patoruzú - Vera historia no oficial del grande y famoso cacique tehuelche.","","","Nacional","4.00","08/16/2026","","","","","","","","Estante D",""
"Permanecer en el amor","Ratzinger, Joseph; Díaz, Fél¡x Menéndez","Biblioteca Autores Cristianos","","Tapa blanda","122","","","","9788422018391","","https://www.goodreads.com/book/show/62969607-permanecer-en-el-amor","","","https://covers.openlibrary.org/b/id/13544259-L.jpg","","","","Biblioteca","0","08/16/2026","","","","","","","","Estante A",""
"Persecución","Sheldon, Sidney","Emecé","","Tapa blanda","120","","","spa","9789500436274","","https://www.goodreads.com/book/show/56893306-persecuci-n","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612061337l/56893306._SX98_.jpg","Yoneo Matsumoto, empresario japones, y su esposa mueren en un accidente de avion en los Estados Unidos. Segun el testamenteo su hijo Masao recibe todos su bienes quedan para Masao. Ese mismo dia, Masao escucha accidentalmente que su tio, planea eliminarlo para quedar al frente de la empresa. Desesperado, Masao huye. Esta solo y sin dinero en un pais desconocido. La persecucion comienza...","","","Sidney-sheldon","3.27","08/16/2026","","","","","","","","Estante C",""
"Pier Giorgio Frassati","Frassati, Luciana","Biblioteca de Autores Cristianos","1996","Tapa blanda","200","","","spa","9788479142216","","https://www.goodreads.com/book/show/17788592-pier-giorgio-frassati-los-d-as-de-su-vida","","","https://covers.openlibrary.org/b/id/13716546-L.jpg","Lo que más me sorprendía en él era su pureza, su alegría radiante, su piedad, su libertad de hijo de Dios por todo aquello tan hermoso que existe en el mundo, su sentido social, la conciencia que tenía en compartir la vida y el destino de la Iglesia. Pero lo que más asombra es que todo ello aparecía en él de una forma natural y espontánea, llena de calor humano y virilidad. Su fe no encontraba ninguna ""explicación"" humana. Pier Giorgio Frassati no era cristiano ni por reacción contra la generación liberal y anticlerical de sus padres, ni por ningún motivo ""cultural"". Su fe se nutría de la sustancia misma del cristianismo: Dios existe, la oración es la levadura de la existencia, los sacramentos son el alimento de la vida eterna, la fraternidad universal es la ley de las relaciones humanas.
Es aquí donde aparece el carácter misterioso, rebelde según el recto razonamiento, de la gracia divina; en un ambiente donde se considera el cristianismo ""superado"" surge un cristiano que respira la alegría de vivir, que no tiene nada de sectario, un cristiano que vive su cristianismo con una espontaneidad que casi da miedo: podría decirse que no tiene problema. De hecho los ha suprimido, quién sabe a qué precio y con qué sufrimientos, con la gracia de su fe. Es, en breve, un hombre dado a la oración, un hombre que come todos los días el pan de la muerte y de la vida, un hombre que se consume por su amor por sus hermanos.

Karl Rahner, S.J.","","","Catholics, Catholic","4.32","08/16/2026","","","","","","","","Estante A",""
"Pier Giorgio Frassati. La santidad posible y cotidiana","","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
