"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Sword Art Online: Fairy Dance, Vol. 1 (Sword Art Online: Fairy Dance Manga, #1)","Haduki, Tsubasa","Editorial Ivrea","2018-07-27","Tapa blanda","220","Sword Art Online: Fairy Dance Manga","1","spa","9788417537173","","https://www.goodreads.com/book/show/40488193-sword-art-online","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530935743l/40488193._SX98_.jpg","¡IVREA publicará SWORD ART ONLINE: FAIRY DANCE en edición argentina!
Este segundo manga de SAO saldrá partir del mes de Julio. Consta de 3 tomos bien grandes (dos de 226 páginas, y el último… ¡338!), que saldrán bimestralmente en formato B6 e incluyendo páginas a color.","","","Manga","4.15","08/16/2026","","","","","","","","Estante D",""
"Tanta sangre","Brett, Simon","","","Tapa blanda","","","","","","","https://www.goodreads.com/book/show/222335921-tanta-sangre","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","","0","08/16/2026","","","","","","","","Estante B",""
"Teologia y espiritualidad confesiones de un ""tomista""","","","","Tapa blanda","","","","","9789876404440","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
"Toda Mafalda","Quino","Ediciones de la Flor","2004-06-20","Tapa blanda","660","Mafalda (Argentina)","","spa","9789505156948","","https://www.goodreads.com/book/show/54741.Toda_Mafalda","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412031764l/54741._SX98_.jpg","Este libro contiene de la primera a la última tira + Mafalda inédita + Al fin solos + Y digo yo + ¿A dónde vamos a parar? + Mafaldas (casi) privadas + Mafaldas públicas + Mafaldas ineditísimas = Toda, pero toda toda Mafalda

(HASTA EL CIERRE DE ESTA EDICIÓN)","","","Favorites","4.78","08/16/2026","","","","","","","","Estante D",""
"Trayectoria de Boomerang","Christie, Agatha","Planeta","","Tapa blanda","206","","","spa","9789504956594","","https://www.goodreads.com/book/show/33963840-trayectoria-de-boomerang","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485054459l/33963840._SX98_.jpg","Bobby Jones juega al golf con un viejo amigo y en el hoyo 17 la bola se pierde por un acantilado. Al bajar a buscarla encuentra a un hombre agonizante que le susurra: '¿Por qué no le preguntan a Evans?' Estas palabras llegarán a poner en peligro su vida.","","","Mystery","3.91","08/16/2026","","","","","","","","Estante C",""
"Tu alien","Sauer, Tammi; Fujita, Gorō; Morros, Marta","Planeta DeAgostini","","Tapa blanda","34","","","spa","9788468439167","","https://www.goodreads.com/book/show/29102209-tu-alien","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455559754l/29102209._SX98_.jpg","Un día aparece en la vida de un niño un ser singular: un niño extraterrestre que sale de la nave espacial que acaba de aterrizar frente a su ventana. Pronto descubren lo bien que se lo pasan juntos en casa, en la escuela, en el parque... Pero conforme se acaba el día el pequeño alienígena se pone triste. ¿Por qué será?","","","Picture-books","3.90","08/16/2026","","","","","","","","Estante D",""
"Tus caminos son una locura","","","","Tapa blanda","","","","","9789505863532","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
"Utopía","More, Thomas","Gradifco","","Tapa blanda","127","","","spa","9789871093403","","https://www.goodreads.com/book/show/6607598-utop-a","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409763225l/6607598._SX98_.jpg","Utopia (Libellus vere aureus, nec minus salutaris quam festivus, de optimo rei publicae statu deque nova insula Utopia) is a satirical work of fiction and political philosophy by Thomas More (1478–1535) published in 1516 in Latin. The book is a frame narrative primarily depicting a fictional island society as described by the character Raphael Hythloday who lived there some years, who describes and its religious, social and political customs.","","","Classics","3.55","08/16/2026","","","","","","","","Estante B",""
"VENERE DEL PARCO DEI CEDRI","Author, Unknown","","","Tapa blanda","","","","","9788861559585","","https://www.goodreads.com/book/show/159553962-venere-del-parco-dei-cedri","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","","0","08/16/2026","","","","","","","","Estante D",""
"Viaje a Traves de Las Arquitecturas (Spanish Edition)","Cosme, Alfonso Muoz","","","Tapa blanda","","","","","9788482113081","","https://www.goodreads.com/book/show/15146133-viaje-a-traves-de-las-arquitecturas","","","https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png","","","","Arquitectura","3.00","08/16/2026","","","","","","","","Estante D",""
"Viajes de Gulliver","Jonathan, Swift","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante B",""
